$GNGLL,4025.00283,N,00340.22044,W,215102.00,A,D*68
$GNGLL,4025.00310,N,00340.22050,W,215103.00,A,D*67
$GNGLL,4025.00342,N,00340.22061,W,215104.00,A,D*65
$GNGLL,4025.00378,N,00340.22077,W,215105.00,A,D*6A
$GNGLL,4025.00636,N,00340.22108,W,215123.00,A,D*68
$GNGLL,4025.00620,N,00340.22124,W,215124.00,A,D*66
$GNGLL,4025.00524,N,00340.22173,W,215127.00,A,D*60
$GNGLL,4025.00495,N,00340.22194,W,215128.00,A,D*6D
$GNGLL,4025.00307,N,00340.22258,W,215134.00,A,D*6F
$GNGLL,4025.00303,N,00340.22266,W,215135.00,A,D*67
$GNGLL,4025.00300,N,00340.22274,W,215136.00,A,D*64
